"album","lyrics","title","url"
"Unknown","Epileptic seizure in the back
Of a red Capri and you're tossing me the keys
Let's ride it out, feed the freak his medicine
And drive it out, wander the new romance
Wander the new romance, Shaka Zulu
Stick your penitentiary clothes
In a furnace vent, it's a dead eye castanet
And ride it out, crash test intermission path
Ride it out 'cause I'm one of the most wanted
One of the most wanted, shotgun three beers
What goes on behind magician's capes?
It's polite to stare when the killer's in the electric chair
He will ride it out, cushioned by his one last meal
An 8 oz steak, all the cola he could drink
Invoke the apparitioner, invoke the apparitioner
Invoke the apparitioner, invoke the apparitioner
Unprotected by a cyclone fence
And a hurricane door and a tornado alarm
The weather man, safest house on the block of safe houses
Decorate the alley way, decorate the alley way
Decorate the alley way, decorate the alley way
Decorate the alley way
Epileptic seizure in the back
Of a red Capri, will you please toss me the keys?
And drive away, feed the freak his medicine
And drive away, wander the new romance
Wander the new romance, shotgun don't stick
Shine, ah, ah, ah, ah, ah, ah","Birds In The Majic Industry","http://lyrics.fandom.com/wiki/Pavement:Birds_In_The_Majic_Industry"
"Wowee Zowee (1995)","Sunday drive past your own hall of fame
It's closed on weekdays, shut for good
Pick out no one when you're talking, felt like rattlesnakes were walking
No one has a clue
The parting shots
The thin caught fault line
Dancing across the frigid air shafts
A spastic grass, a criminal's child
Count to ten and read until the lights begin to bleed
Lights, 'til you actually see the rays
And your thoughts they start turning, tells you lessons that you're learning
No one has a clue
The gauzy thoughts of those dirty Scots
Wrestling with the elements up on the trail high
I need to know where does it go?
How do I get there and what will I find?
Fun, fun, fun, fun for the summertime blues
It's gonna set you free
Fun, fun, fun, fun for the summertime blues","Black Out","http://lyrics.fandom.com/wiki/Pavement:Black_Out"
"Westing (By Musket And Sextant) (1993)","When they fall in
They fall in from the roof
They grab on to me tightly
As if I knew the way
When I fight for something
I fight because I care
When I fight with you
I fight but I don't care
Everybody wants the questions to be asked
The questions are the answers
To questions in themselves
Ask me if I really need it
Ask me if you want to get hit
Hit it
Ask me if you want to be... fucked.","Angel Carver Blues / Mellow Jazz Docent","http://lyrics.fandom.com/wiki/Pavement:Angel_Carver_Blues_/_Mellow_Jazz_Docent"
"Terror Twilight (1999)","The damage has been done
I am not having fun anymore
Do what you do when you try, what you get, when you see the light
Come down, I'll set my hope in a wonderful hospital man
We got rooms to live, room to live in
Room to give, but no room to give in
But you never had a chance
No, you never had a chance
To those above, take us out, throw us down, shove us out
We get down so, so hard
But your vulgar display caught me off-guard, cold, cold boy with American heart
Gonna run in and lock up the shots again
But Ann, don't you cry
Don't you cry, Ann, don't you cry
Don't you cry, Ann, don't you cry
Don't you cry, Ann, don't you cry, don't you cry
Well, my heart is not a wide-open thing, I know
There is hardly not a lot to say, except I met her and her five false friends, they go, they go
Tied, tied, tied to the tracks, just remember the facts
Repeat until you're running aground again
But Ann, don't you cry
Don't you cry, don't you cry
Don't you cry, Ann, don't you cry
Don't you cry, Ann, don't you cry
Dear Ann
Don't you cry, you'll sever the love
Take you away, don't you cry, you'll sever the love
And don't you cry, you'll sever the love
Don't you believe in what they say
Believe in what they say
Believe in what they, leave in what they
Believe in what they say about me, sweet, sweet Ann","Ann Don't Cry","http://lyrics.fandom.com/wiki/Pavement:Ann_Don%27t_Cry"
"Wowee Zowee (1995)","Maybe someone's going to save me, my heart is made of gravy
And the laps I swim from lunatics don't count
Open up your stockings, pull out the things you never wanted
From room service calls, room service calls
Open up your hands and let me see the things you keep in there
I don't want to split up fifty-fifty that's the way we do it in this rose town
I've got all the glory in the world, I hope it doesn't floor you before you go
Room service calls in the random falls, go!
Whenever, whenever, whenever, whenever
Whenever, whenever, eve-eve-ever I feel fine
I'm going to walk away from all this all that
Groovy-groovy kitty you little-little pity
With your slip shag watching back
You skinny skinny people don't like that
When you call on them, spell me
Spritzer on ice in New York City
Isn't it a pity, you never had anything to mix with that
Listen to the tender behind the open chest in the hall
Room service calls, I'm blue green and cream and blue
Whenever, whenever, whenever, whene-ne-ne-ne never
I feel fine, I'll walk the plank for you, I'll walk the plank for you
In the dark of the capi-federal, Jacob, Jacob Javits
I'd like to thank you for everything, primarily your glass house
I'm working the balling stores and I'm cashmir wrap selling
Come along lads, join hands, 1-2-3 go! (Guess, Levis, Guess, Levis)
Whaaah-whaaah-whaaah-whaa-whaaah
The story it goes and a distorted ghost, distorted ghost","AT&T","http://lyrics.fandom.com/wiki/Pavement:AT%26T"
"Westing (By Musket And Sextant) (1993)","I'm just waiting waiting for the Baptist
That sad suck-off left me in Damascus
I'm just waiting waiting for the Baptist
That sad suck-off, that suck left me now
I'm just wasting, wasting all the Blackticks
Queens way's rockers, 'nough to make your ears twitch
I'm wasting, wasting all the Blackticks
Some reddish shit some grey vision, now.
Well I'm just waiting, waiting for Blacktick
That fucker... ah...
That fucker left me now
That suck left me now
That son left me now.","Baptist Blacktick","http://lyrics.fandom.com/wiki/Pavement:Baptist_Blacktick"
"Wowee Zowee (1995)","??? Liar
(I can see, I can see, I can see, I can see)
???? Ah come on, let's go
(I can see, I can see, I can see, I can see)
Yeah baby I've lost ???
??
(I can see, I can see, I can see, I can see)
Everybody looks like
(I can see, I can see, I can see, I can see)
When you lay that down with an eight-eight track, everybody laughs
But they don't know what you're sayin'
(I can see, I can see, I can see, I can see)
??? I guess if not...
(I can see, I can see, I can see, I can see)
Keep it under your best friend's arms [x9]
Keep it under","Best Friend's Arm","http://lyrics.fandom.com/wiki/Pavement:Best_Friend%27s_Arm"
"Terror Twilight (1999)","Billie and my friend the saint
You're perfect in so many ways
But you never looked hard at a fetus in a jar
You never saw your mama change
And this wonderland of spite
Does not shine into your night
Like widows are seen as stigmatized beings
Who ought to have second chance
And hurricanes spin like debutantes in a trance
Sue the fortune-teller
Rue the rising tide
General Washington
Patented that skull, throw him out
Ship that hollandaise
Feel the heart fell of touche
See the longer you tease, the stronger the needs
The highs and the fruit are long
Up to the one a kid
Call the bluff when the money's in
You're a hungry matron and you are just what I need
I was tired of the best years of my life
Sue the fortune-teller
Rue the rising tide
General Washington
Patented that skull, throw him out","Billie","http://lyrics.fandom.com/wiki/Pavement:Billie"
"Unknown","Epileptic seizure in the back
Of a red Capri and you're tossing me the keys
Let's ride it out, feed the freak his medicine
And drive it out, wander the new romance
Wander the new romance, Shaka Zulu
Stick your penitentiary clothes
In a furnace vent, it's a dead eye castanet
And ride it out, crash test intermission path
Ride it out 'cause I'm one of the most wanted
One of the most wanted, shotgun three beers
What goes on behind magician's capes?
It's polite to stare when the killer's in the electric chair
He will ride it out, cushioned by his one last meal
An 8 oz steak, all the cola he could drink
Invoke the apparitioner, invoke the apparitioner
Invoke the apparitioner, invoke the apparitioner
Unprotected by a cyclone fence
And a hurricane door and a tornado alarm
The weather man, safest house on the block of safe houses
Decorate the alley way, decorate the alley way
Decorate the alley way, decorate the alley way
Decorate the alley way
Epileptic seizure in the back
Of a red Capri, will you please toss me the keys?
And drive away, feed the freak his medicine
And drive away, wander the new romance
Wander the new romance, shotgun don't stick
Shine, ah, ah, ah, ah, ah, ah","Birds In The Majic Industry","http://lyrics.fandom.com/wiki/Pavement:Birds_In_The_Majic_Industry"
"Wowee Zowee (1995)","Sunday drive past your own hall of fame
It's closed on weekdays, shut for good
Pick out no one when you're talking, felt like rattlesnakes were walking
No one has a clue
The parting shots
The thin caught fault line
Dancing across the frigid air shafts
A spastic grass, a criminal's child
Count to ten and read until the lights begin to bleed
Lights, 'til you actually see the rays
And your thoughts they start turning, tells you lessons that you're learning
No one has a clue
The gauzy thoughts of those dirty Scots
Wrestling with the elements up on the trail high
I need to know where does it go?
How do I get there and what will I find?
Fun, fun, fun, fun for the summertime blues
It's gonna set you free
Fun, fun, fun, fun for the summertime blues","Black Out","http://lyrics.fandom.com/wiki/Pavement:Black_Out"
